Datum;Tijd;Parameter;Locatie;Waarde;Eenheid;Bemonsteringshoogte;Referentievlak;
13-10-2021;08:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);150;cm;-999999999;NVT;
13-10-2021;08:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);154;cm;-999999999;NVT;
13-10-2021;08:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);151;cm;-999999999;NVT;
13-10-2021;08:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);138;cm;-999999999;NVT;
13-10-2021;08:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);136;cm;-999999999;NVT;
13-10-2021;09:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);137;cm;-999999999;NVT;
13-10-2021;09:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);134;cm;-999999999;NVT;
13-10-2021;09:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);130;cm;-999999999;NVT;
13-10-2021;09:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);125;cm;-999999999;NVT;
13-10-2021;09:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);118;cm;-999999999;NVT;
13-10-2021;09:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);118;cm;-999999999;NVT;
13-10-2021;10:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);122;cm;-999999999;NVT;
13-10-2021;10:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);125;cm;-999999999;NVT;
13-10-2021;10:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);125;cm;-999999999;NVT;
13-10-2021;10:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);117;cm;-999999999;NVT;
13-10-2021;10:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);110;cm;-999999999;NVT;
13-10-2021;10:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);112;cm;-999999999;NVT;
13-10-2021;11:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);115;cm;-999999999;NVT;
13-10-2021;11:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);111;cm;-999999999;NVT;
13-10-2021;11:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);107;cm;-999999999;NVT;
13-10-2021;11:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);110;cm;-999999999;NVT;
13-10-2021;11:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);106;cm;-999999999;NVT;
13-10-2021;11:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);99;cm;-999999999;NVT;
13-10-2021;12:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);104;cm;-999999999;NVT;
13-10-2021;12:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);111;cm;-999999999;NVT;
13-10-2021;12:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);113;cm;-999999999;NVT;
13-10-2021;12:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);113;cm;-999999999;NVT;
13-10-2021;12:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);109;cm;-999999999;NVT;
13-10-2021;12:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);110;cm;-999999999;NVT;
13-10-2021;13:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);112;cm;-999999999;NVT;
13-10-2021;13:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);112;cm;-999999999;NVT;
13-10-2021;13:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);110;cm;-999999999;NVT;
13-10-2021;13:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);105;cm;-999999999;NVT;
13-10-2021;13:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);103;cm;-999999999;NVT;
13-10-2021;13:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);103;cm;-999999999;NVT;
13-10-2021;14:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);101;cm;-999999999;NVT;
13-10-2021;14:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);101;cm;-999999999;NVT;
13-10-2021;14:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);105;cm;-999999999;NVT;
13-10-2021;14:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);103;cm;-999999999;NVT;
13-10-2021;14:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);100;cm;-999999999;NVT;
13-10-2021;14:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);98;cm;-999999999;NVT;
13-10-2021;15:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);98;cm;-999999999;NVT;
13-10-2021;15:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);95;cm;-999999999;NVT;
13-10-2021;15:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);92;cm;-999999999;NVT;
13-10-2021;15:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);92;cm;-999999999;NVT;
13-10-2021;15:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);91;cm;-999999999;NVT;
13-10-2021;15:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);92;cm;-999999999;NVT;
13-10-2021;16:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);95;cm;-999999999;NVT;
13-10-2021;16:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);92;cm;-999999999;NVT;
13-10-2021;16:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);91;cm;-999999999;NVT;
13-10-2021;16:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);96;cm;-999999999;NVT;
13-10-2021;16:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);93;cm;-999999999;NVT;
13-10-2021;16:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);91;cm;-999999999;NVT;
13-10-2021;17:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);94;cm;-999999999;NVT;
13-10-2021;17:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Oosterschelde 11 (b);93;cm;-999999999;NVT;
